id,Title,Company,Location,Salary,Description
147,Python/Django Developer,PranshTech Solutions Pvt Ltd.,"Gota, Ahmedabad, Gujarat","Up to ₹50,000 a month","As part of our crew, you'll be diving into designing, developing, and maintaining web applications using Python and Django.That's a sweet bonus too."
148,Python Developer,TBot Techno Systems,"Bengaluru, Karnataka",,"Integration of user-facing elements developed by front-end developers with server-side logic.As a Python Developer, you will be responsible for writing server…"
149,Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
150,Python Developer,nFolks Data Solutions,Remote in India,,"5+ years of rigorous coding experience in python.2 years of experience on any cloud environments (AWS, GCP or Azure).B-tech or Masters in Computer Science."
151,ETL Developer,Barclays,"Remote in Pune, Maharashtra",,"This role spans across leading / working on multiple projects or modules and coordinating with teams to understand requirements, develop and implement Ab>Initio…"
152,Developer Specialist - Backend (Python),OpsTree Solutions,"Remote in Noida, Uttar Pradesh",,"Coordinating with front-end developers.Expertise in at least one popular Python framework (like Django, Flask or Pyramid).2-3 years of experience."
153,Python Developer,ITC Infotech India Ltd,"Bengaluru, Karnataka",,"Experience with Python ORMs like SQLAlchemy and Python libraries like Pandas, Scikit-Learn, Numpy, NLTK, Scipy, NLP.Big data(EMR, pyspark): Intermediate."
154,Python Developer,SoulPage IT Solutions,"Hyderabad, Telangana",,Work closely with front-end developers to integrate the back-end functionalities.Type of Employment: Full-time.Experience with Django is a must.
155,Python Full Stack Developer,Zeomega,"Bengaluru, Karnataka","₹5,00,000 - ₹12,00,000 a year","Skills: *Python, Zope, version controlling system, PDB, OOP in python, java script, firebug, ajax, YUI / Angular JS, Linux commands, SQL queries."
156,Python Developer- Harman,Nityo Infotech,"Bengaluru, Karnataka",,"Expertise in Python scripting, APIs, serverless code, database interactions with docker containers.Expertise and good understanding of standard industrial…"
157,Python + Django + React Developers,Kreeyaa,"Hyderabad, Telangana",,"Need Python, Django and React experience.Develop effective and scalable Web application using Python & React.Designing and implementing a robust application."
158,Python Web Developer,Dextris Infoservices Private Limited,"Bengaluru, Karnataka","₹4,39,727 - ₹10,00,000 a year","Participate in full project life cycle (including requirement analysis, system design,.Development, and support if required)."
159,Python Developer - Delhi,aynsoft.com,"Delhi, Delhi","₹40,000 - ₹50,000 a month","Developing back-end web applications like Python based SaaS.Knowledge of Python web frameworks like Django, Flask, etc.Development of Python based APIs."
160,Python Developer,Sreeb Technologies Pvt. Ltd,"Hyderabad, Telangana","₹6,00,000 - ₹15,00,000 a year","Core python, HTML, Database, GIT, LINUX, Shell Scripting.5-7 years of experience in Python.Hyderabad, Telangana: Reliably commute or planning to relocate…"
161,Analyst Python Developer,BlackRock,"Hybrid remote in Mumbai, Maharashtra",,Insurance Solutions: FMA supports clients with the design and implementation of investment and risk management strategies that are appropriate for insurers and…
162,"Full Stack Developer (Python,JS)",AnywhereWorks,"Chennai, Tamil Nadu",,"Collaborate with cross-functional teams, including designers, product managers, and other developers, to gather requirements, provide technical insights, and…"
163,Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
164,Python Developer,Data work Technologies pvt.Ltd,"Bengaluru, Karnataka","₹8,00,000 - ₹15,00,000 a year","Strong in python programming and should be able to develop both API, UI and backend validations.Integration of user-facing elements developed by front-end…"
165,Lead Python Developer,Q2ebanking,"Hybrid remote in Bengaluru, Karnataka",,"Review and understand the use cases, specifications, and requirements of each Statement of Work.Design product extensions that leverage the Q2 Wedge Framework."
166,Senior Python Developer,Replicon Software,"Remote in Bengaluru, Karnataka","Up to ₹18,00,000 a year","As a Senior Software Engineer in our team, you will be responsible for understanding the requirements of pay rules from the product manager, conducting the…"
167,Python developer,Goodtechmind,"Mumbai, Maharashtra","₹8,00,000 - ₹10,00,000 a year",We are looking for a Python Developer to join our engineering team and help us develop and maintain various software products.Total work: 1 year (Preferred).
168,Full Stack Developer,Superjet group,"Hyderabad, Telangana","₹4,80,000 - ₹5,40,000 a year","Proficiency in front-end development technologies such as HTML5, CSS3, JavaScript, and modern front-end frameworks (React, Angular, Vue, etc.)."
169,Python + React Fullstack,Elitez Recruitment Services Private Limited,Remote in Remote+2 locations,"₹20,00,000 - ₹25,00,000 a year","Provide mentorship to junior developers by rigorous code review, observe standard and advocate best practises."
170,Python Developer,Sage IT India,"Pune, Maharashtra",,We are looking for a Python Web Developer responsible for managing the interchange of data between the server and the users.
171,Python/Django Developer,Accubits Technologies Inc,"Remote in Thiruvananthapuram, Kerala","Up to ₹15,00,000 a year","We are looking to recruit experienced Python Developers (5-8years) who have good Knowledge and experience in Django, Rest API and MySQL."
172,Junior Python Developer,Looper Development Services Private Limited,"Pune, Maharashtra","₹8,00,000 - ₹10,00,000 a year",Candidates need to have experience to transfer data to cloud using python language.Minimum experience between 3 to 7 years.Strong in writing SQL queries.
173,Python Developer,Parahit Technologies,"New Delhi, Delhi",,Must have practical knowledge of coding in Python/Django framework.Can deal with JavaScript coding involving AJAX/JSON/XML web services.
174,Senior Python Developer,Bluetick Consultants LLP,"Remote in Bengaluru, Karnataka","Up to ₹20,00,000 a year",Immediate joiner would be preferred and candidates who can work 4 hours overlapping with Canada time zone probably 8-12 and rest 4 hours in India time.
175,Full Stack Developer,"CloudPlinth, Inc.","Hyderabad, Telangana+1 location",,Experience in leading a team of developers in developing web applications.The ideal candidate will have a passion for technology and the ability to lead a team…
176,Java/Python developer,Talent Folks,"Bengaluru, Karnataka",,Java/Python developer (Programming Experience in Java or Python.).3+ years of experience in Java/Python programming and development is mandatory.
177,Fullstack Python developer,G3 Interactive,"Kochi, Kerala","₹20,000 - ₹30,000 a month","Should be able to handle from coding to deployment.Develop and maintain web applications using Python and related frameworks (Django, Flask, etc.).."
178,Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
179,Python Django Developer,Egenx Systech,"Pune, Maharashtra",,"Responsible for integrating the front-end elements into the application; therefore, a good understanding of front-end technologies is necessary as well."
180,Python Developer,Day One Technologies,"Bengaluru, Karnataka",,"Knowledge of Python Pandas, SQL, PostgreSQL, Django REST framework.Experience in automated quality assurance (e.g., unit testing, robot framework)."
181,Python/Django Developer,Ataloud Technologies,"Mumbai, Maharashtra",,"At Ataloud, we are looking to hire strong backend developers with working experience in building 3-tier applications using Python & Django framework in the…"
182,Python Developer,Elitez Recruitment Services Private Limited,"Coimbatore, Tamil Nadu","₹6,00,000 - ₹13,00,000 a year","Expertise should be in – DevOps skills like GIT,Jenkins,Docker,Ansible,Kubernetes and Web Designing are advantage.Hands on experience on Linux environment."
183,Python Developer,Mobile Programming LLC,"Mumbai, Maharashtra","₹6,00,000 - ₹14,00,000 a year","Collaborating with cross-functional teams including product managers, designers, and other developers to create software solutions."
184,Web Developer (6 months - 2 year experience),Onbyz,"Remote in Thiruvananthapuram, Kerala",,Craft backend applications and cooperate closely with backend developers to ensure flawless integration and optimal functionality.Submit Resume For this Job.
185,Power BI Developer,Appzlogic Mobility Solutions Pvt Ltd,"Remote in Hyderabad, Telangana","₹15,00,000 - ₹20,00,000 a year","Location: Hybrid-Hyderabad, Bangalore or Gurgaon.Designing, developing, and maintaining web-based portals with role-based security, Semantic Layer data models,…"
186,Python Developer ( Freshers can also Apply),REIZEND PRIVATE LIMITED,"Thiruvananthapuram, Kerala","₹4,00,000 - ₹6,00,000 a year","Proficiency in Python programming with a strong grasp of core concepts.Basic Data Structures and Algorithms: Familiarity with common data structures (lists,…"
187,Sr. Python Developer/Python Tech Lead,BigShyft,"Hyderabad, Telangana",,"What makes you a Great Fit:Hands-on experience in Python programming, grpc.Experience on using Django/ Flask, implementation of webservices."
